 CO0_34R6,1010.764,0.0000136,28,1000000000,,,,
 CO0_34R5,1010.773,0.0000141,28,1000000000,,,,
 CO0_34R4,1010.787,0.0000147,28,1000000000,,,,
 CO0_34R3,1010.806,0.0000158,28,1000000000,,,,
 CO0_34R2,1010.828,0.0000177,28,1000000000,,,,
 CO0_34R1,1010.855,0.0000221,28,1000000000,,,,
 CO0_34R0,1010.886,0.0000442,28,1000000000,,,,
 CO0_34Q1,1010.925,0.0000221,28,1000000000,,,,
 CO0_34Q2,1010.933,0.0000221,28,1000000000,,,,
 HDLR5V09,1010.938,0.013,3,921000000,,,,
 H2WQ2V00,1010.945,0.0238,2,1180000000,,,,
 CO0_34Q3,1010.946,0.0000221,28,1000000000,,,,
 CO0_34Q4,1010.963,0.0000221,28,1000000000,,,,
 CO0_34Q5,1010.9839,0.0000221,28,1000000000,,,,
 CO0_34P2,1011.004,0.00000442,28,1000000000,,,,
 CO0_34Q6,1011.009,0.0000221,28,1000000000,,,,
 CO0_34Q7,1011.0389,0.0000221,28,1000000000,,,,
 CO0_34P3,1011.051,0.00000632,28,1000000000,,,,
 CO0_34Q8,1011.073,0.0000221,28,1000000000,,,,
 CO0_34P4,1011.103,0.00000737,28,1000000000,,,,
 CO0_34Q9,1011.111,0.0000221,28,1000000000,,,,
 FeII,1011.136,0.000000158,56,1290,,,,
 CO0_34P5,1011.159,0.00000804,28,1000000000,,,,
 CO0_34P6,1011.219,0.0000085,28,1000000000,,,,
 CO0_34P7,1011.2841,0.00000884,28,1000000000,,,,
 CO0_34P8,1011.353,0.0000091,28,1000000000,,,,
 HDWR5V00,1011.376,0.00506,3,590000000,,,,
 CO0_34P9,1011.426,0.00000931,28,1000000000,,,,
 HDLR0V08,1011.457,0.0245,3,1120000000,,,,
 HDLR9V11,1011.518,0.0116,3,737000000,,,,
 H2WQ9V01,1011.571,0.0368,2,1140000000,,,,
 CO1_34R9,1011.598,0.0000128,29,1000000000,,,,
 CO1_34R8,1011.601,0.000013,29,1000000000,,,,
 CO1_34R7,1011.608,0.0000132,29,1000000000,,,,
 CO1_34R6,1011.618,0.0000136,29,1000000000,,,,
 CO1_34R5,1011.632,0.000014,29,1000000000,,,,
 CO1_34R4,1011.649,0.0000147,29,1000000000,,,,
 CO1_34R3,1011.67,0.0000158,29,1000000000,,,,
 CO1_34R2,1011.694,0.0000177,29,1000000000,,,,
 CO1_34R1,1011.7209,0.0000221,29,1000000000,,,,
 CO1_34R0,1011.752,0.0000442,29,1000000000,,,,
 HDWP3V00,1011.777,0.00247,3,592000000,,,,
 CO1_34Q1,1011.79,0.0000221,29,1000000000,,,,
 CO1_34Q2,1011.796,0.0000221,29,1000000000,,,,
 CO1_34Q3,1011.807,0.0000221,29,1000000000,,,,
 H2WR4V00,1011.818,0.0141,2,1170000000,,,,
 CO1_34Q4,1011.82,0.0000221,29,1000000000,,,,
 CO1_34Q5,1011.837,0.0000221,29,1000000000,,,,
 ClI*,1011.8492,0.0126,35,81800000,,,,
 CO1_34Q6,1011.858,0.0000221,29,1000000000,,,,
 CO1_34P2,1011.865,0.00000442,29,1000000000,,,,
 H2LP6V09,1011.872,0.00869,2,1110000000,,,,
 CO1_34Q7,1011.882,0.0000221,29,1000000000,,,,
 CO1_34P3,1011.9091,0.00000631,29,1000000000,,,,
 CO1_34Q8,1011.9091,0.0000221,29,1000000000,,,,
 HDLR1V08,1011.924,0.0163,3,1100000000,,,,
 CO1_34Q9,1011.94,0.0000221,29,1000000000,,,,
 CO1_34P4,1011.957,0.00000736,29,1000000000,,,,
 CO1_34P5,1012.008,0.00000803,29,1000000000,,,,
 CO1_34P6,1012.063,0.00000849,29,1000000000,,,,
 HDWQ4V00,1012.119,0.0093,3,585000000,,,,
 CO1_34P7,1012.121,0.00000883,29,1000000000,,,,
 ClI*,1012.1505,0.0346,35,113000000,,,,
 H2WP2V00,1012.176,0.00548,2,1180000000,,,,
 CO1_34P8,1012.183,0.00000909,29,1000000000,,,,
