Fe II ,1236.462    ,8.e+06 
Ni V ,1236.670    ,8.56e+07 
Ni V ,1236.702    ,9.37e+08 
Mg IV ,1236.936    ,3.88e+08 
Ni V ,1237.126    ,2.19e+07 
Al IV ,1237.187    ,1.96e+09 
Ni V ,1237.2060   ,5.93e+08 
Ni V ,1237.335    ,3.72e+08 
Al IV ,1237.744    ,9.48e+06 
Ni V ,1237.979    ,1.90e+08 
Ni V ,1238.118    ,8.58e+08 
Ni V ,1238.216    ,1.99e+08 
Fe II ,1238.255    ,2.3e+07 
Ni V ,1238.555    ,2.56e+08 
Ni V ,1238.644    ,3.52e+07 
Ni V ,1238.705    ,4.71e+08 
Ni V ,1238.969    ,5.62e+07 
Ni V ,1239.058    ,1.59e+08 
Fe II ,1239.255    ,1.7e+07 
Ni V ,1239.556    ,3.13e+08 
Ni V ,1239.671    ,9.61e+08 
Fe VII ,1239.690    ,6.2e+08 
Ni V ,1239.776    ,1.74e+08 
Mg III ,1239.827    ,1.82e+08 
Fe II ,1239.868    ,7.e+07 
Mg II ,1239.936    ,1.35e+06 
Ni V ,1239.9590   ,1.97e+08 
Ni V ,1240.160    ,8.20e+07 
Al IV ,1240.206    ,1.37e+09 
Ni V ,1240.3210   ,9.44e+08 
Mg II ,1240.399    ,1.52e+06 
Fe II ,1240.531    ,2.4e+07 
Al IV ,1240.861    ,1.61e+09 
Ni V ,1241.043    ,7.41e+07 
Ni V ,1241.043    ,6.69e+07 
Ni V ,1241.043    ,7.50e+07 
Ni V ,1241.174    ,1.92e+07 
Ni V ,1241.174    ,1.80e+07 
Ni V ,1241.334    ,7.18e+08 
Ni V ,1241.429    ,2.69e+08 
Ni V ,1241.429    ,8.34e+07 
Ni V ,1241.6410   ,9.12e+08 
S I ,1241.905    ,1.22e+07 
Fe II ,1241.923    ,5.e+07 
Ni V ,1241.9910   ,4.63e+08 
Ni V ,1242.0800   ,8.78e+08 
Ni V ,1242.142    ,1.01e+08 
Ni V ,1242.6450   ,1.39e+08 
C I ,1243.140    ,2.0e+06 
Ni V ,1243.2280   ,6.05e+08 
Ni V ,1243.335    ,2.44e+08 
Ni V ,1243.416    ,6.08e+07 
Ni V ,1243.5050   ,4.78e+08 
C I ,1243.518    ,2.3e+06 
Ni V ,1243.6680   ,3.76e+08 
Mg IV ,1243.840    ,1.86e+08 
C I ,1243.997    ,2.8e+06 
Ni V ,1244.024    ,2.71e+08 
C I ,1244.127    ,9.e+05 
Ni V ,1244.1850   ,1.07e+09 
Ni V ,1244.1850   ,1.18e+09 
Ni V ,1244.281    ,4.08e+08 
C I ,1244.510    ,5.e+05 
C I ,1244.540    ,3.7e+06 
Ni V ,1244.659    ,4.77e+07 
Fe II ,1244.748    ,1.1e+07 
Ni V ,1244.792    ,8.13e+07 
Ni V ,1244.966    ,3.22e+08 
Ni V ,1244.966    ,5.68e+07 
Ni V ,1244.966    ,3.74e+07 
C I ,1244.996    ,2.0e+06 
Ni V ,1245.0690   ,2.74e+08 
C I ,1245.174    ,3.3e+06 
Ni V ,1245.187    ,8.14e+08 
Ni V ,1245.187    ,1.33e+08 
Ni V ,1245.187    ,6.49e+08 
Ni V ,1245.272    ,2.25e+07 
Ni V ,1245.362    ,2.34e+08 
Ni V ,1245.452    ,2.54e+08 
Ni V ,1245.452    ,1.14e+09 
Ni V ,1245.531    ,1.22e+08 
C I ,1245.532    ,1.7e+06 
Fe II ,1245.764    ,2.2e+07 
C I ,1245.943    ,5.e+06 
Ni V ,1245.997    ,4.98e+07 
Ni V ,1246.124    ,8.43e+07 
C I ,1246.173    ,1.8e+06 
Ni V ,1246.362    ,6.31e+07 
Ni V ,1246.544    ,4.62e+08 
Si II ,1246.74     ,4.03e+08 
Ni V ,1246.830    ,4.84e+08 
Ni V ,1246.830    ,8.50e+08 
C I ,1246.863    ,9.e+06 
C I ,1246.940    ,1.6e+06 
S I ,1247.1600   ,1.36e+07 
Ni V ,1247.367    ,2.46e+08 
Ni V ,1247.610    ,5.53e+08 
Ni V ,1247.674    ,1.40e+08 
